osm_id,name,golf_base,golf_elnino,golf_latest,ring_base,ring_elnino,ring_latest,gap_base,gap_elnino,gap_latest,cooling_signal,signal_2026
107017060,Canlubang Golf and Country Club,306.5788,309.7538,310.7748,306.5315,309.7371,311.086,0.0473,0.0167,-0.3112,-0.0306,-0.3585
8791554,Orchard Residential Estate Golf and Country Club,311.0082,313.5611,313.4295,311.9818,315.2541,315.6436,-0.9736,-1.693,-2.2141,-0.7193,-1.2405
2406385,Forest Hills Golf and Country Club,307.8638,309.4212,310.9998,307.6697,308.9167,310.5089,0.1941,0.5045,0.4909,0.3104,0.2968
106350883,Luisita Golf & Country Club,311.6684,316.1178,314.2832,314.5235,318.4253,318.2799,-2.8551,-2.3075,-3.9968,0.5475,-1.1417
10296616,Eagle Ridge Golf Club,308.8648,311.4613,311.5482,310.1237,313.4389,313.6392,-1.2589,-1.9776,-2.091,-0.7187,-0.8321
18207481,Sun Valley Golf Club,308.2608,310.2355,311.1374,308.6782,311.399,311.7944,-0.4174,-1.1635,-0.657,-0.7461,-0.2395
987623407,Sherwood Hills Golf Club,310.3313,310.8158,310.8215,310.2293,312.8212,312.4345,0.1019,-2.0053,-1.6129,-2.1073,-1.7149
1078077919,FA Korea Country Club,314.1364,317.4233,318.8212,313.632,317.5532,318.6189,0.5044,-0.1298,0.2023,-0.6342,-0.302
11907837,Riviera Golf Course,306.8397,310.4434,311.4955,307.1821,312.4831,313.0136,-0.3423,-2.0398,-1.5181,-1.6974,-1.1758
347091162,D'heights Golf Course,307.8153,309.9165,311.1005,308.4691,311.0588,311.6218,-0.6538,-1.1423,-0.5213,-0.4885,0.1325
146701718,Santa Elena Golf Course and Country Club,308.7386,310.2666,310.6806,310.4236,312.7676,312.9008,-1.685,-2.501,-2.2202,-0.816,-0.5352
16611953,Manila Southwoods Golf and Country Club,311.0551,311.4442,312.0824,314.1873,316.6311,316.9069,-3.1322,-5.1869,-4.8245,-2.0547,-1.6923
15571615,Pamplona Plantation Golf and Country Club,308.3915,314.8425,312.0076,308.3711,312.9796,312.095,0.0204,1.8629,-0.0874,1.8425,-0.1078
15979150,,313.2353,312.0895,315.5171,314.0713,313.404,316.9716,-0.836,-1.3145,-1.4545,-0.4785,-0.6185
4429331,Mimosa Golf & Country Club,311.3463,314.5361,313.3602,311.642,315.4186,314.4914,-0.2958,-0.8825,-1.1312,-0.5867,-0.8354
82710489,Wack Wack Golf and Country Club,310.9343,313.0059,313.0571,317.4151,319.6022,320.3109,-6.4808,-6.5963,-7.2537,-0.1155,-0.7729
178099994,Del Monte Golf and Country Club,304.8246,307.4331,309.015,305.5046,308.7766,309.3358,-0.6801,-1.3435,-0.3209,-0.6634,0.3592
128948346,The Country Club,308.7763,312.4083,312.4777,311.1687,314.2026,315.155,-2.3923,-1.7943,-2.6773,0.5981,-0.285
5172611,Malarayat Golf Course,307.875,309.4111,311.3291,309.0851,311.8005,314.3311,-1.21,-2.3894,-3.002,-1.1794,-1.792
148049007,Subic Golf Club,308.4281,308.1269,309.4197,306.4627,306.6322,307.5483,1.9654,1.4946,1.8714,-0.4708,-0.094
238203194,Zamboanga City Golf Club and Beach Resort,309.2767,311.5101,312.9652,306.2675,306.416,308.2492,3.0092,5.0942,4.7161,2.0849,1.7068
7896490,The Pinewoods Golf and Country Club,303.8634,305.025,305.4782,302.5438,303.631,304.5162,1.3196,1.394,0.962,0.0745,-0.3576
31712056,Eastridge Golf & Country Club,309.5648,310.4396,312.7611,310.1086,312.2107,312.9081,-0.5438,-1.7711,-0.147,-1.2273,0.3968
144672538,Tagaytay Midlands Golf Club,309.3087,311.0129,310.6392,309.7964,312.9137,313.0679,-0.4877,-1.9008,-2.4287,-1.4131,-1.941
98969670,Alta Vista Golf & Country Club,309.5845,315.9532,309.3431,310.1818,314.1944,309.217,-0.5973,1.7588,0.1261,2.3561,0.7234
1571908,Southlinks Golf Club,311.3247,317.1762,316.7258,314.7337,318.4077,318.2329,-3.4089,-1.2314,-1.5071,2.1775,1.9018
152586409,Mercedes Plantation golf and Country Club,312.5336,313.286,313.2496,309.2572,309.8883,309.5134,3.2764,3.3978,3.7362,0.1214,0.4598
138947548,Summit Point Golf & Residential Estates,307.5271,310.2203,312.1135,307.1641,311.2296,313.6781,0.3629,-1.0093,-1.5646,-1.3722,-1.9275
1259077065,New Asia Golf & Spa Resort,314.5461,318.2151,318.5943,314.6031,319.8586,318.5766,-0.0569,-1.6436,0.0177,-1.5866,0.0746
1921827,Pueblo de Oro Golf and Country Club,310.8752,315.3795,309.6888,311.1159,317.0893,310.5721,-0.2407,-1.7098,-0.8833,-1.4691,-0.6426
312033052,Calatagan Golf Club,308.0525,308.437,308.6185,307.9728,308.4861,308.8699,0.0797,-0.0491,-0.2514,-0.1288,-0.3311
220338864,Mayon Golf Course,311.6723,308.1811,318.5127,310.1495,307.9871,313.9442,1.5228,0.194,4.5685,-1.3288,3.0457
153513050,Evercrest Golf Club and Resort,304.7725,308.0935,309.3245,304.0848,306.5586,307.6303,0.6877,1.5349,1.6942,0.8473,1.0065
173399846,Air Force City Golf Course,318.5386,321.7692,321.4791,317.4748,321.1336,320.3256,1.0639,0.6357,1.1535,-0.4282,0.0897
99512563,Royal Northwoods,311.6856,313.7694,314.3088,313.7722,318.3075,316.3861,-2.0866,-4.5381,-2.0773,-2.4515,0.0093
511373987,Victorias Golf and Country Club,309.4875,310.7665,309.658,310.8129,311.4026,309.475,-1.3254,-0.636,0.183,0.6894,1.5084
286864651,Hallow Ridge Filipinas Golf,309.6161,313.0254,312.0291,312.0991,315.5549,314.7813,-2.483,-2.5295,-2.7522,-0.0465,-0.2693
13509276,Ayala Greenfield Golf and Leisure Club,306.1194,307.0202,310.0646,305.4211,307.2754,309.6177,0.6982,-0.2552,0.4469,-0.9534,-0.2513
1120578954,South Pacific Davao Golf Club,310.5637,308.1373,312.0233,309.5086,306.4505,311.0559,1.0551,1.6867,0.9674,0.6317,-0.0877
30478360,Apo Golf and Country Club,308.1446,305.6616,308.5865,311.3167,308.7948,312.3522,-3.172,-3.1332,-3.7657,0.0388,-0.5936
17250995,Lakewood Golf Course,313.7096,315.9479,315.3057,309.9591,311.688,311.9635,3.7505,4.2598,3.3422,0.5093,-0.4083
4913973,Alabang Country Club,310.1578,310.8501,311.847,314.0667,315.1383,316.0383,-3.9089,-4.2882,-4.1912,-0.3793,-0.2823
1262766897,South Forbes Golf Club,306.086,308.5533,310.1896,307.4781,309.7482,311.6194,-1.3921,-1.1948,-1.4297,0.1973,-0.0376
128616401,Villamor Air Base Golf Course,311.9446,315.0128,315.2404,316.8515,319.5299,320.1871,-4.9069,-4.5171,-4.9468,0.3898,-0.0399
153513039,Splendido Golf Course,306.5087,308.7855,309.2483,304.6389,307.1405,308.1436,1.8698,1.6451,1.1047,-0.2247,-0.7651
269467713,Royal Garden Golf,317.0028,319.6925,315.6983,318.2891,321.3498,322.1988,-1.2863,-1.6573,-6.5005,-0.371,-5.2142
9630843,Fairways and Bluewater Resort Golf and Country Club,309.082,308.8414,312.2947,307.2061,306.5631,308.6516,1.8759,2.2782,3.6432,0.4024,1.7673
67137399,Cebu Country Club,310.5989,315.8249,314.025,317.0276,317.5147,318.7963,-6.4287,-1.6898,-4.7713,4.7389,1.6574
244117954,Mactan Island Golf Club,314.0409,319.0179,315.4061,317.2217,319.9799,318.519,-3.1809,-0.9619,-3.1129,2.2189,0.0679
83415116,Leyte Golf and Country Club,311.4523,311.4436,312.3545,308.9699,310.7122,311.0263,2.4824,0.7314,1.3282,-1.751,-1.1542
167420206,Iloilo Golf and Country Club,309.8589,314.6961,313.4441,309.6224,313.546,312.0171,0.2364,1.1501,1.427,0.9136,1.1905
1415089965,,310.3554,311.3041,312.6824,306.3859,307.6467,308.3199,3.9696,3.6574,4.3625,-0.3121,0.3929
8326757,Manila Golf and Country Club,307.9987,310.3247,311.4648,312.7681,315.5652,316.2165,-4.7694,-5.2405,-4.7517,-0.4711,0.0177
246446745,,312.7289,312.8231,313.8871,310.9447,311.4132,311.4979,1.7842,1.4099,2.3892,-0.3743,0.605
15273788,Zamora Championship Course,307.5445,310.1022,310.3214,304.1535,305.7646,306.4205,3.391,4.3376,3.9009,0.9465,0.5099
245376615,San Juanico Golf And Country Club,307.1794,309.2825,311.3411,305.8564,307.0503,307.8711,1.3231,2.2323,3.4701,0.9092,2.147
53625579,Negros Occidental Golf and Country Club,310.2193,312.9989,309.9821,313.3468,314.1673,314.0912,-3.1275,-1.1684,-4.109,1.9591,-0.9816
515497211,"Bacolod Golf & Country Club, INC.",310.1535,313.2316,308.1382,312.9398,315.3129,310.9697,-2.7863,-2.0813,-2.8315,0.705,-0.0452
942438304,Fernando Air Base Golf Club,310.5208,310.3916,314.1314,309.4927,310.4673,314.4586,1.0281,-0.0757,-0.3272,-1.1038,-1.3553
1520602515,Tagaytay Highlands International Golf Club,305.1664,305.4068,307.0302,303.8805,304.841,305.4919,1.2859,0.5658,1.5383,-0.7201,0.2523
150436422,Club Filipino Golf Course,310.2501,311.5931,311.8717,310.4207,312.4288,312.2773,-0.1706,-0.8358,-0.4056,-0.6651,-0.2349
1347745645,Tandatangan Golf Course,314.4568,312.7346,311.9045,312.2776,312.7005,311.8933,2.1792,0.034,0.0112,-2.1451,-2.168
306524835,Antonio Bautista Golf Course,310.0574,312.4326,311.5958,313.6244,315.7596,315.4265,-3.567,-3.327,-3.8307,0.24,-0.2637
310023913,Edwin Andrews Air Base Golf Club,313.5296,304.3326,316.1172,314.1023,305.0635,317.753,-0.5726,-0.7308,-1.6359,-0.1582,-1.0632
101917627,,312.0871,312.9086,315.294,312.2081,312.7834,313.9518,-0.121,0.1253,1.3422,0.2463,1.4632
8212685,Veterans Memorial Medical Center Golf Course,315.1972,318.4092,315.7537,318.0352,320.5413,319.4089,-2.838,-2.1321,-3.6552,0.7059,-0.8172
1058754970,Fontana Golf,309.9221,313.5002,313.0361,312.1935,316.1931,315.1168,-2.2714,-2.6929,-2.0807,-0.4215,0.1907
27832144,Philippine Navy Golf Club,311.2044,313.4547,313.0724,315.0754,318.1519,318.0098,-3.871,-4.6973,-4.9374,-0.8263,-1.0664
175533230,,310.2919,311.7828,307.2062,307.1384,306.6432,304.7946,3.1535,5.1396,2.4116,1.9861,-0.742
13655553,Rio Tuba Nickel Mining Corp Golf Club,317.6031,321.7335,317.0474,313.2009,316.9305,315.3455,4.4021,4.803,1.7019,0.4008,-2.7003
16741298,The Cliff Golf Course,314.9065,313.0562,315.6427,311.9698,309.8265,312.2624,2.9367,3.2297,3.3803,0.2929,0.4435
113548725,,306.886,305.58,308.2663,305.8427,304.589,307.1146,1.0432,0.9909,1.1517,-0.0523,0.1085
19224722,Camp John Hay Golf Course,302.231,303.1546,304.1378,301.2019,303.2787,302.9387,1.0291,-0.1241,1.1992,-1.1532,0.1701
550922162,Dole Kalsangi Golf Club,305.4382,305.221,305.735,306.6838,306.1751,309.0244,-1.2456,-0.9541,-3.2893,0.2915,-2.0438
397901069,Sarangani Golf & Country Club,,,,306.6636,309.6049,312.4169,,,,,
14196103,Capitol Hills Golf and Country Club,314.0421,316.3378,317.2936,315.966,319.1264,319.6475,-1.9239,-2.7886,-2.3539,-0.8647,-0.43
150765385,Ponderosa Golf Course,301.7465,304.4686,304.1631,301.5855,303.5434,303.6502,0.1611,0.9251,0.5129,0.7641,0.3518
234890223,Banaba Golf Club,312.7755,313.8539,312.3018,314.1147,314.5805,315.4596,-1.3392,-0.7267,-3.1578,0.6125,-1.8187
27189526,Camp Aguinaldo Golf Course,311.83,313.9911,313.9136,316.7571,318.6458,319.8777,-4.9271,-4.6547,-5.9641,0.2724,-1.037
1216020018,Paraiso Golf Course,309.4009,311.0936,311.0901,306.8414,307.044,308.3135,2.5595,4.0496,2.7766,1.4901,0.2171
32750431,,307.1088,303.799,306.8806,306.6695,302.7875,306.9232,0.4393,1.0115,-0.0426,0.5722,-0.482
1450616996,Don Paco Rocamora Golf & Country Club,312.7829,310.4835,311.8153,309.4759,307.0873,309.1875,3.307,3.3962,2.6277,0.0892,-0.6793
251713251,Ang Tay Golf Course,310.8274,308.3885,309.9832,312.4923,309.9592,313.339,-1.665,-1.5707,-3.3559,0.0943,-1.6909
30783169,Cattle Creek,310.5444,312.6643,315.6235,310.8716,312.7212,316.509,-0.3272,-0.0569,-0.8855,0.2703,-0.5582
17944530,Club Intramuros Golf Course,312.4579,315.4773,315.1359,314.8289,316.6418,317.3857,-2.3711,-1.1644,-2.2498,1.2067,0.1213
542005767,Iligan City Golf Course,305.6498,308.8359,306.1005,305.5147,307.0002,306.5411,0.135,1.8357,-0.4406,1.7007,-0.5757
184128526,Camp Evangelista Golf Club,312.4908,321.9905,312.4522,315.0173,319.1077,315.0387,-2.5265,2.8828,-2.5866,5.4093,-0.06
146996117,,316.401,317.059,318.5545,314.4592,316.0029,316.7617,1.9418,1.0562,1.7928,-0.8856,-0.149
1498101159,Haciendas de Naga,310.939,310.863,311.0737,308.7272,310.6378,312.5711,2.2118,0.2251,-1.4974,-1.9866,-3.7091
664750028,San Antonio Golf Course,310.5205,311.0808,309.2964,310.1328,309.877,308.6736,0.3877,1.2039,0.6227,0.8161,0.235
14143603,Baguio Country Club Golf Course,301.6139,304.4364,303.3137,303.3055,306.3248,304.9621,-1.6916,-1.8884,-1.6484,-0.1968,0.0432
107092431,,310.8794,311.6178,312.5757,312.6905,311.8713,313.713,-1.8111,-0.2535,-1.1373,1.5576,0.6738
27832178,Philippine Army Golf Club,311.1408,313.4249,314.2267,315.2808,318.1428,318.2382,-4.14,-4.7179,-4.0115,-0.578,0.1284
32750230,,307.3617,306.5914,307.382,307.5086,305.072,307.6825,-0.1469,1.5194,-0.3005,1.6663,-0.1536
32750176,,307.0511,305.524,307.3745,306.1517,303.4345,306.0681,0.8994,2.0895,1.3064,1.1902,0.4071
537391355,Punta Fuego Golf Club,312.5317,311.4906,312.518,306.5285,305.9031,307.4744,6.0032,5.5875,5.0436,-0.4157,-0.9596
318352365,Basa Air Base Golf Course,316.6834,318.8796,319.1803,315.0427,317.4671,317.0207,1.6406,1.4125,2.1595,-0.2281,0.5189
1350772044,Perfect Star Golf Course,310.1992,309.3796,309.8347,306.8124,307.452,308.009,3.3868,1.9276,1.8257,-1.4593,-1.5611
16312972,Illana Bay Golf & Country Club,305.6133,309.9157,307.3383,304.8592,308.8929,306.7372,0.7542,1.0229,0.6011,0.2687,-0.1531
683035062,West Highlands Golf Course,308.8309,304.8248,309.0096,308.4335,304.6566,308.7136,0.3973,0.1682,0.2961,-0.2291,-0.1013
273056776,Royale Tagaytay,305.3418,311.4575,310.425,307.9947,311.7519,313.3047,-2.6528,-0.2944,-2.8797,2.3584,-0.2269
281980715,,308.8383,317.2466,313.9288,307.4629,311.4724,311.0904,1.3754,5.7742,2.8383,4.3988,1.463
137911884,Basa Air Base Golf Course,315.8262,318.2391,317.9836,317.0093,319.2513,319.2324,-1.1832,-1.0121,-1.2487,0.171,-0.0656
264770929,Olot Golf Course,,,,302.9669,303.9127,305.174,,,,,
80393802,The Cliff Golf Course,312.751,311.2738,314.6439,309.1638,307.5365,310.0494,3.5872,3.7373,4.5945,0.1501,1.0073
246644550,,313.1433,314.8917,313.4803,311.7082,314.3977,313.3389,1.4351,0.494,0.1414,-0.9411,-1.2936
121047040,,317.5751,319.4831,321.2953,320.3529,321.2694,322.0846,-2.7778,-1.7863,-0.7893,0.9915,1.9885
1568934,Caliraya Spring Golf & Country Club,308.8194,308.4812,311.1641,308.7262,307.2088,311.1796,0.0931,1.2723,-0.0155,1.1792,-0.1087
20507414,Lepanto Mines Golf Course,305.8828,307.2321,308.2541,301.5138,302.8357,303.7276,4.369,4.3964,4.5264,0.0274,0.1574
109833384,,307.5459,307.0169,308.2997,307.5983,306.4445,309.4005,-0.0524,0.5724,-1.1008,0.6247,-1.0485
32750324,,307.2552,303.3387,307.481,307.8513,304.481,308.3099,-0.5961,-1.1422,-0.8289,-0.5462,-0.2328
213709056,,313.4309,322.2096,313.9763,312.0978,317.893,310.8988,1.3331,4.3166,3.0775,2.9835,1.7444
32759572,,310.1201,306.7428,310.9376,305.9993,303.2851,306.5834,4.1207,3.4578,4.3542,-0.663,0.2335
17908468,,312.6288,315.6556,314.8531,313.3974,315.5555,316.5448,-0.7685,0.1001,-1.6917,0.8687,-0.9231
175010424,Hampas Lupa Golf Driving Range,,,,311.7318,310.0791,311.8954,,,,,
703800716,,310.9722,310.0204,314.107,307.7074,308.9071,311.2216,3.2648,1.1133,2.8854,-2.1515,-0.3794
184362383,Camp Aguinaldo Golf Course,316.2883,317.7357,318.9855,318.3556,320.5107,321.3067,-2.0673,-2.775,-2.3213,-0.7077,-0.254
160903445,LLCI,309.1766,314.6468,313.6054,307.4636,311.1514,309.9658,1.713,3.4953,3.6396,1.7823,1.9266
1105103473,Davao Eaglemasters Golf Driving Range,311.1475,310.1868,310.6137,309.6431,308.4618,308.9875,1.5044,1.7251,1.6262,0.2207,0.1218
184362384,Camp Aguinaldo Golf Course,314.2638,316.4061,316.6804,317.2993,319.2856,320.1339,-3.0355,-2.8795,-3.4535,0.156,-0.418
16751280,Laguna Bel Air Mini Golf Course,311.8734,314.8636,314.0876,314.6784,316.6914,317.3121,-2.805,-1.8278,-3.2244,0.9772,-0.4194
703800717,,311.0837,309.9208,313.524,307.9833,308.7165,310.7027,3.1005,1.2043,2.8213,-1.8962,-0.2792
35213090,Las Piñas Driving Range,317.598,322.0509,321.1533,317.7374,320.9739,321.6989,-0.1393,1.077,-0.5456,1.2164,-0.4063
7588874,Driving range,311.3489,316.2756,316.9952,309.8009,313.458,315.1639,1.548,2.8176,1.8313,1.2696,0.2833
1209424422,,302.9495,305.2174,305.5387,300.8415,302.7248,302.8367,2.108,2.4926,2.702,0.3846,0.594
66703198,EG Golf & Driving Range,320.0728,321.4222,323.6516,316.8005,318.8354,319.9536,3.2723,2.5868,3.6981,-0.6855,0.4258
142839733,Iloilo Golf Driving Range,313.2371,314.7287,307.7425,313.9275,314.8938,309.6312,-0.6904,-0.1651,-1.8886,0.5254,-1.1982
60121152,City Golf,317.6295,322.2041,322.3324,317.7338,322.4369,321.8981,-0.1043,-0.2328,0.4343,-0.1284,0.5386
1468599051,,312.6025,313.9642,314.1118,309.9015,310.8081,311.766,2.701,3.1561,2.3458,0.4551,-0.3552
150835617,"Driving Range, fenced",316.8787,315.7692,319.0139,315.8575,314.5824,317.8853,1.0212,1.1868,1.1286,0.1656,0.1074
702047132,,306.3872,306.9691,309.8963,307.5152,307.9715,309.6114,-1.128,-1.0024,0.2849,0.1257,1.413
1468599052,,313.6632,314.0536,314.4043,309.4211,310.2445,311.2602,4.2422,3.809,3.1441,-0.4331,-1.0981
1241013713,,,,,314.0509,315.1435,315.404,,,,,
1455691384,,308.2575,309.5776,310.4168,308.5577,310.853,312.8131,-0.3002,-1.2754,-2.3963,-0.9752,-2.0962
1116950585,Pitch & Putt,312.7828,314.1172,314.6794,311.4562,313.9059,313.759,1.3266,0.2113,0.9205,-1.1153,-0.4061
32775560,,312.0875,313.0953,313.7071,315.6921,316.6801,318.9056,-3.6046,-3.5847,-5.1985,0.0199,-1.5939
1468599053,,315.797,316.6309,318.0092,313.7364,314.5804,315.5739,2.0605,2.0505,2.4353,-0.0101,0.3748
1468599054,,314.3565,314.7157,316.2006,313.7508,314.0655,315.5503,0.6057,0.6502,0.6503,0.0445,0.0445
