osm_id,name,gap_elnino_p0,gap_elnino_p1,gap_elnino_p2,slope_elnino,range_elnino,gap_latest_p0,gap_latest_p1,gap_latest_p2,slope_latest,range_latest,gap_base_p0,gap_base_p1,gap_base_p2,slope_base,range_base,slope_signal,slope_signal_2026
107017060,Canlubang Golf and Country Club,0.02546,0.02965,0.01621,-0.00462,0.01343,-0.00164,0.01345,0.00536,0.0035,0.01509,0.00887,0.01777,0.02955,0.01034,0.02068,-0.01497,-0.00684
8791554,Orchard Residential Estate Golf and Country Club,0.07791,0.08899,0.10041,0.01125,0.0225,0.04665,0.08871,0.0938,0.02358,0.04716,0.04173,0.06642,0.07958,0.01892,0.03785,-0.00767,0.00465
2406385,Forest Hills Golf and Country Club,-0.01751,-0.00748,0.03199,0.02475,0.0495,-0.00017,-0.00522,0.00702,0.0036,0.01224,-0.00285,0.01156,0.03736,0.02011,0.04021,0.00465,-0.01651
106350883,Luisita Golf & Country Club,0.1349,0.0974,0.1089,-0.013,0.0375,0.14618,0.16132,0.1525,0.00316,0.01514,0.13098,0.14266,0.11109,-0.00994,0.03157,-0.00306,0.0131
10296616,Eagle Ridge Golf Club,0.07968,0.11807,0.1291,0.02471,0.04942,0.06493,0.11168,0.11744,0.02626,0.05251,0.03541,0.09333,0.11351,0.03905,0.07811,-0.01434,-0.0128
18207481,Sun Valley Golf Club,0.10245,0.08926,0.0944,-0.00403,0.0132,0.05696,0.06594,0.09652,0.01978,0.03956,0.02891,0.06071,0.06532,0.01821,0.03641,-0.02223,0.00157
987623407,Sherwood Hills Golf Club,0.08619,0.10748,0.13783,0.02582,0.05164,0.12731,0.13273,0.15659,0.01464,0.02928,0.06167,0.01491,0.01983,-0.02092,0.04676,0.04674,0.03556
1078077919,FA Korea Country Club,0.19181,0.17639,0.12881,-0.0315,0.063,0.18475,0.16929,0.08758,-0.04859,0.09717,0.14538,0.13453,0.12403,-0.01067,0.02135,-0.02082,-0.03791
11907837,Riviera Golf Course,0.0083,0.05998,0.06122,0.02646,0.05292,0.01763,0.03745,0.08095,0.03166,0.06332,-0.0144,0.01523,0.04257,0.02848,0.05697,-0.00202,0.00318
347091162,D'heights Golf Course,0.11696,0.15486,0.1806,0.03182,0.06365,0.11411,0.11583,0.11409,-1e-05,0.00174,0.12714,0.1361,0.14692,0.00989,0.01978,0.02193,-0.0099
146701718,Santa Elena Golf Course and Country Club,0.12279,0.15097,0.1617,0.01946,0.03892,0.07748,0.12718,0.16274,0.04263,0.08526,0.09067,0.11901,0.14649,0.02791,0.05582,-0.00845,0.01472
16611953,Manila Southwoods Golf and Country Club,0.21868,0.27813,0.2771,0.02921,0.05945,0.13155,0.22282,0.26041,0.06443,0.12886,0.16281,0.20983,0.20071,0.01895,0.04702,0.01026,0.04548
15571615,Pamplona Plantation Golf and Country Club,-0.05608,-0.06501,-0.08669,-0.01531,0.03062,-0.03604,0.02713,-0.02902,0.00351,0.06317,-0.0116,-0.003,-0.04826,-0.01833,0.04526,0.00302,0.02184
15979150,,0.07995,0.23347,0.12664,0.02334,0.15352,0.05892,0.19628,0.13847,0.03977,0.13736,0.04056,0.19373,0.10599,0.03272,0.15317,-0.00937,0.00706
4429331,Mimosa Golf & Country Club,0.08933,0.09387,0.08939,3e-05,0.00454,0.138,0.13241,0.102,-0.018,0.03599,0.05449,0.04905,0.05805,0.00178,0.009,-0.00175,-0.01978
82710489,Wack Wack Golf and Country Club,0.39838,0.35057,0.39589,-0.00125,0.04781,0.38551,0.39714,0.42301,0.01875,0.0375,0.42788,0.42322,0.42815,0.00014,0.00494,-0.00138,0.01861
178099994,Del Monte Golf and Country Club,-0.00469,0.02228,0.0575,0.03109,0.06219,-0.04867,0.01154,0.00506,0.02687,0.06021,0.00913,0.03254,0.0522,0.02154,0.04307,0.00956,0.00533
128948346,The Country Club,0.12643,0.15052,0.15684,0.01521,0.03042,0.14412,0.15506,0.17822,0.01705,0.0341,0.10734,0.12784,0.12894,0.0108,0.0216,0.00441,0.00625
5172611,Malarayat Golf Course,0.09307,0.13273,0.1812,0.04406,0.08813,0.07495,0.12733,0.16724,0.04615,0.09229,0.04662,0.08768,0.12819,0.04079,0.08157,0.00328,0.00536
148049007,Subic Golf Club,-0.16133,-0.12779,-0.10919,0.02607,0.05215,-0.15549,-0.18211,-0.1769,-0.01071,0.02662,-0.18428,-0.1562,-0.16421,0.01004,0.02808,0.01604,-0.02074
238203194,Zamboanga City Golf Club and Beach Resort,0.16118,0.09904,0.10212,-0.02953,0.06215,0.26427,0.12696,0.10389,-0.08019,0.16038,0.26289,0.24201,0.22807,-0.01741,0.03482,-0.01212,-0.06278
7896490,The Pinewoods Golf and Country Club,-0.05924,-0.02373,-0.0001,0.02957,0.05913,-0.01656,0.0053,0.00674,0.01165,0.02331,-0.05663,-0.04697,-0.03616,0.01023,0.02047,0.01933,0.00142
31712056,Eastridge Golf & Country Club,0.06007,0.10232,0.2056,0.07277,0.14553,-0.0144,0.06427,0.0875,0.05095,0.1019,0.01138,0.09638,0.13368,0.06115,0.1223,0.01162,-0.0102
144672538,Tagaytay Midlands Golf Club,0.07213,0.08407,0.11,0.01893,0.03786,0.07361,0.08914,0.10225,0.01432,0.02864,-0.01883,0.00014,0.01417,0.0165,0.033,0.00243,-0.00218
98969670,Alta Vista Golf & Country Club,0.05949,0.01932,-0.00606,-0.03278,0.06555,0.07619,0.10371,0.07344,-0.00138,0.03028,0.07884,0.0587,0.03358,-0.02263,0.04526,-0.01015,0.02125
1571908,Southlinks Golf Club,0.1406,0.09587,0.02118,-0.05971,0.11943,0.07729,0.00966,-0.01371,-0.0455,0.09101,0.31657,0.22321,0.17251,-0.07203,0.14405,0.01231,0.02652
152586409,Mercedes Plantation golf and Country Club,0.37672,0.25108,0.23627,-0.07022,0.14045,0.45322,0.34485,0.26377,-0.09472,0.18945,0.36208,0.31722,0.25868,-0.0517,0.1034,-0.01853,-0.04303
138947548,Summit Point Golf & Residential Estates,-0.03867,0.04154,0.14912,0.09389,0.18779,0.04218,0.09562,0.17892,0.06837,0.13673,-0.03382,-0.00483,0.06729,0.05056,0.10111,0.04334,0.01781
1259077065,New Asia Golf & Spa Resort,0.05776,0.09612,0.09984,0.02104,0.04208,0.03585,0.04734,0.08045,0.0223,0.0446,0.02508,-0.0084,0.02427,-0.0004,0.03347,0.02144,0.0227
1921827,Pueblo de Oro Golf and Country Club,0.10862,0.09656,0.12541,0.0084,0.02885,0.13876,0.10854,0.10144,-0.01866,0.03732,0.05552,0.06126,0.05654,0.00051,0.00574,0.00789,-0.01917
312033052,Calatagan Golf Club,-0.02245,0.00251,0.0359,0.02917,0.05835,-0.03289,0.0239,0.05785,0.04537,0.09074,-0.03121,0.00981,0.05617,0.04369,0.08738,-0.01452,0.00168
220338864,Mayon Golf Course,0.06589,0.03607,0.04671,-0.00959,0.02981,0.04624,0.03046,-0.0833,-0.06477,0.12955,0.03376,0.02165,0.0245,-0.00463,0.01211,-0.00496,-0.06014
153513050,Evercrest Golf Club and Resort,-0.02866,-0.04873,-0.04961,-0.01048,0.02095,-0.03575,-0.0473,-0.06608,-0.01516,0.03033,-9e-05,-0.04092,-0.08091,-0.04041,0.08081,0.02993,0.02524
173399846,Air Force City Golf Course,0.06998,0.02094,0.01,-0.02999,0.05999,0.03475,0.00663,-0.01016,-0.02245,0.04491,0.07407,0.02983,0.05844,-0.00782,0.04424,-0.02218,-0.01464
99512563,Royal Northwoods,0.11552,0.19422,0.23643,0.06045,0.12091,0.13026,0.12354,0.16597,0.01785,0.04243,0.07733,0.16955,0.17138,0.04702,0.09404,0.01343,-0.02917
511373987,Victorias Golf and Country Club,0.08337,0.10446,0.11445,0.01554,0.03108,0.02301,0.10038,0.08529,0.03114,0.07737,0.12593,0.12788,0.13953,0.0068,0.0136,0.00874,0.02434
286864651,Hallow Ridge Filipinas Golf,0.15666,0.13999,0.11469,-0.02099,0.04197,0.13008,0.17223,0.14939,0.00966,0.04215,0.14599,0.14302,0.12928,-0.00836,0.01672,-0.01263,0.01802
13509276,Ayala Greenfield Golf and Leisure Club,-0.01752,0.00745,0.02218,0.01985,0.0397,-0.01382,-0.03794,-0.01001,0.00191,0.02793,-0.02235,-0.02414,-0.00331,0.00952,0.02083,0.01033,-0.00761
1120578954,South Pacific Davao Golf Club,0.02718,0.00157,-0.03032,-0.02875,0.0575,-0.00206,-0.02616,0.08181,0.04193,0.10797,-0.03101,-0.03082,-0.00448,0.01326,0.02652,-0.04201,0.02867
30478360,Apo Golf and Country Club,0.22117,0.24461,0.22371,0.00127,0.02343,0.23153,0.22281,0.26141,0.01494,0.0386,0.21848,0.23365,0.24335,0.01243,0.02487,-0.01117,0.0025
17250995,Lakewood Golf Course,-0.16951,-0.20424,0.04667,0.10809,0.25092,-0.04313,-0.12108,0.01017,0.02665,0.13125,-0.00808,-0.13842,-0.05729,-0.02461,0.13034,0.1327,0.05126
4913973,Alabang Country Club,0.21775,0.19515,0.24604,0.01414,0.0509,0.2282,0.21833,0.24016,0.00598,0.02183,0.22942,0.24903,0.24506,0.00782,0.01961,0.00632,-0.00184
1262766897,South Forbes Golf Club,0.03515,0.02868,-0.02506,-0.0301,0.0602,0.0531,0.02048,0.00961,-0.02174,0.04348,0.02506,0.0132,0.01553,-0.00477,0.01187,-0.02533,-0.01697
128616401,Villamor Air Base Golf Course,0.41461,0.37676,0.41128,-0.00167,0.03785,0.36138,0.43421,0.44201,0.04032,0.08064,0.46145,0.45305,0.4385,-0.01147,0.02295,0.00981,0.05179
153513039,Splendido Golf Course,-0.05242,-0.07902,-0.16971,-0.05864,0.11729,-0.06708,-0.10505,-0.10174,-0.01733,0.03797,-0.122,-0.14828,-0.13374,-0.00587,0.02628,-0.05277,-0.01146
269467713,Royal Garden Golf,0.13708,0.09437,0.10029,-0.0184,0.04271,0.09236,0.32145,0.32751,0.11757,0.23515,0.10974,0.10795,0.16091,0.02559,0.05296,-0.04398,0.09199
9630843,Fairways and Bluewater Resort Golf and Country Club,-0.01394,-0.09162,-0.10368,-0.04487,0.08975,0.04275,-0.08514,-0.13964,-0.09119,0.18239,0.02322,-0.08618,-0.11564,-0.06943,0.13886,0.02456,-0.02176
67137399,Cebu Country Club,0.40119,0.30109,0.23975,-0.08072,0.16144,0.30318,0.28407,0.27628,-0.01345,0.0269,0.43196,0.39628,0.3722,-0.02988,0.05976,-0.05084,0.01643
244117954,Mactan Island Golf Club,0.24487,0.19223,0.16751,-0.03868,0.07736,0.21809,0.2681,0.19171,-0.01319,0.07638,0.29486,0.29828,0.25015,-0.02235,0.04812,-0.01633,0.00916
83415116,Leyte Golf and Country Club,-0.01105,-0.09991,-0.05615,-0.02255,0.08886,0.02751,-0.00976,-0.02312,-0.02531,0.05063,0.01105,-0.00686,-0.01809,-0.01457,0.02914,-0.00798,-0.01074
167420206,Iloilo Golf and Country Club,0.03721,0.05705,0.02052,-0.00835,0.03653,-0.06161,0.02925,0.04887,0.05524,0.11049,0.04847,0.08637,0.06107,0.0063,0.0379,-0.01465,0.04895
1415089965,,-0.1844,-0.26296,-0.27628,-0.04594,0.09188,-0.07683,-0.13506,-0.2305,-0.07684,0.15367,-0.23257,-0.27529,-0.31711,-0.04227,0.08454,-0.00367,-0.03457
8326757,Manila Golf and Country Club,0.37721,0.36443,0.41169,0.01724,0.04726,0.24792,0.32762,0.35931,0.05569,0.11138,0.36202,0.41363,0.41346,0.02572,0.0516,-0.00848,0.02997
246446745,,0.08862,0.06575,0.08274,-0.00294,0.02287,0.11868,0.10078,0.06971,-0.02448,0.04896,0.0899,0.10444,0.08976,-7e-05,0.01468,-0.00287,-0.02441
15273788,Zamora Championship Course,-0.04231,-0.06711,-0.0567,-0.0072,0.0248,-0.00415,-0.05193,-0.05421,-0.02503,0.05005,0.00022,0.00247,-0.01644,-0.00833,0.01891,0.00113,-0.0167
245376615,San Juanico Golf And Country Club,-0.0284,-0.07229,-0.06049,-0.01604,0.04389,,-0.04306,-0.08548,,,-0.02975,-0.03023,-0.04133,-0.00579,0.01158,-0.01025,
53625579,Negros Occidental Golf and Country Club,0.14351,0.08725,0.11028,-0.01661,0.05626,0.1698,0.24774,0.21356,0.02188,0.07794,0.21285,0.23653,0.23239,0.00977,0.02367,-0.02638,0.01211
515497211,"Bacolod Golf & Country Club, INC.",0.09947,0.10451,0.1192,0.00986,0.01973,0.16994,0.16464,0.11623,-0.02685,0.0537,0.12421,0.17916,0.14125,0.00852,0.05495,0.00135,-0.03537
942438304,Fernando Air Base Golf Club,0.10579,0.08637,0.04072,-0.03254,0.06507,0.1218,0.08893,0.07055,-0.02563,0.05125,0.06637,0.03955,0.05742,-0.00447,0.02682,-0.02806,-0.02115
1520602515,Tagaytay Highlands International Golf Club,-0.06417,-0.07902,-0.07494,-0.00538,0.01485,-0.0515,-0.06302,-0.0619,-0.0052,0.01152,-0.05424,-0.04671,-0.04445,0.0049,0.00979,-0.01028,-0.0101
150436422,Club Filipino Golf Course,-0.00614,0.03962,0.11624,0.06119,0.12238,-0.01542,-0.03982,0.01489,0.01516,0.05471,0.00069,0.04361,0.07315,0.03623,0.07245,0.02496,-0.02107
1347745645,Tandatangan Golf Course,0.08067,0.07286,0.06726,-0.00671,0.01341,0.04581,0.05928,0.02135,-0.01223,0.03793,-0.15152,-0.23733,-0.13902,0.00625,0.09831,-0.01295,-0.01848
306524835,Antonio Bautista Golf Course,0.19646,0.17441,0.18683,-0.00481,0.02205,0.21638,0.19484,0.20293,-0.00673,0.02154,0.18315,0.21096,0.20605,0.01145,0.02781,-0.01627,-0.01818
310023913,Edwin Andrews Air Base Golf Club,0.13881,0.12087,0.0925,-0.02315,0.04631,0.22594,0.17997,0.12539,-0.05027,0.10054,0.14836,0.16808,0.1353,-0.00653,0.03278,-0.01662,-0.04374
101917627,,0.27473,0.22768,0.19456,-0.04009,0.08018,0.26541,0.20277,0.17853,-0.04344,0.08688,0.29751,0.23867,0.20698,-0.04526,0.09053,0.00518,0.00182
8212685,Veterans Memorial Medical Center Golf Course,0.26915,0.21777,0.30777,0.01931,0.09,0.35025,0.34589,0.27761,-0.03632,0.07264,0.35228,0.27924,0.23873,-0.05677,0.11355,0.07608,0.02045
