osm_id,name,irrigation_signal,se_signal,lo,hi,golf_n_base,golf_n_elnino,golf_n_latest
107017060,Canlubang Golf and Country Club,0.0043,0.0523,-0.0982,0.1068,34.4255,7.9958,12.2175
8791554,Orchard Residential Estate Golf and Country Club,0.027,0.0397,-0.0508,0.1048,50.3782,13.4269,13.0337
2406385,Forest Hills Golf and Country Club,-0.0088,0.0313,-0.0702,0.0526,85.4329,18.707,19.0998
106350883,Luisita Golf & Country Club,-0.0244,0.0425,-0.1078,0.059,117.9916,25.819,24.6694
10296616,Eagle Ridge Golf Club,0.03,0.0469,-0.0619,0.1219,38.2513,9.3387,12.7484
18207481,Sun Valley Golf Club,0.0443,0.0317,-0.0179,0.1065,82.397,21.0098,16.0814
987623407,Sherwood Hills Golf Club,0.0803,0.0449,-0.0077,0.1683,41.9944,10.9605,10.8787
1078077919,FA Korea Country Club,0.0353,0.0354,-0.0341,0.1047,99.9145,18.6576,19.3316
11907837,Riviera Golf Course,0.0323,0.0509,-0.0674,0.132,41.4196,8.1478,13.8151
347091162,D'heights Golf Course,0.0222,0.0375,-0.0513,0.0957,84.837,16.6462,18.138
146701718,Santa Elena Golf Course and Country Club,0.0352,0.0431,-0.0492,0.1196,51.6233,15.0136,14.8897
16611953,Manila Southwoods Golf and Country Club,0.0587,0.0369,-0.0135,0.1309,51.0881,12.6795,13.5209
15571615,Pamplona Plantation Golf and Country Club,-0.0556,0.0666,-0.1861,0.0749,35.2106,9.9069,10.1219
15979150,,0.0392,0.0443,-0.0477,0.1261,128.2292,25.4637,25.9891
4429331,Mimosa Golf & Country Club,0.0476,0.0367,-0.0243,0.1195,102.3033,18.0472,18.6477
82710489,Wack Wack Golf and Country Club,-0.0422,0.0505,-0.1412,0.0568,35.9633,8.4823,9.3565
178099994,Del Monte Golf and Country Club,-0.0188,0.0439,-0.1047,0.0671,87.7218,18.7361,26.5555
128948346,The Country Club,0.0225,0.0435,-0.0627,0.1077,46.4782,11.6686,14.7449
5172611,Malarayat Golf Course,0.0516,0.0377,-0.0223,0.1255,52.0922,16.8732,15.3787
148049007,Subic Golf Club,0.038,0.0264,-0.0138,0.0898,124.7372,28.2401,24.1585
238203194,Zamboanga City Golf Club and Beach Resort,-0.1377,0.0595,-0.2542,-0.0212,39.2255,9.1166,11.0927
7896490,The Pinewoods Golf and Country Club,0.0143,0.0266,-0.0378,0.0664,140.2509,39.636,31.7087
31712056,Eastridge Golf & Country Club,0.0873,0.0363,0.0161,0.1585,92.7955,16.5095,24.526
144672538,Tagaytay Midlands Golf Club,0.0922,0.0491,-0.004,0.1884,43.1565,8.8132,11.1115
98969670,Alta Vista Golf & Country Club,-0.0451,0.0667,-0.1759,0.0857,26.1271,7.1597,10.4576
1571908,Southlinks Golf Club,-0.1677,0.0313,-0.2291,-0.1063,132.0568,27.7584,31.0309
152586409,Mercedes Plantation golf and Country Club,-0.0454,0.0428,-0.1293,0.0385,101.0642,30.252,27.9878
138947548,Summit Point Golf & Residential Estates,0.0831,0.0456,-0.0063,0.1725,54.7458,13.7217,15.6819
1259077065,New Asia Golf & Spa Resort,0.0799,0.0333,0.0146,0.1452,123.9078,22.1835,21.4243
1921827,Pueblo de Oro Golf and Country Club,0.0435,0.0504,-0.0552,0.1422,46.0985,14.5244,14.8351
312033052,Calatagan Golf Club,-0.0004,0.027,-0.0533,0.0525,118.5884,25.1806,30.0786
220338864,Mayon Golf Course,0.017,0.0483,-0.0776,0.1116,37.2021,5.5919,11.2637
153513050,Evercrest Golf Club and Resort,-0.0049,0.0452,-0.0936,0.0838,38.529,7.5036,11.9483
173399846,Air Force City Golf Course,-0.0258,0.0375,-0.0993,0.0477,96.9627,19.0969,14.663
99512563,Royal Northwoods,0.0765,0.0451,-0.0119,0.1649,37.7329,8.4008,7.5605
511373987,Victorias Golf and Country Club,-0.0311,0.0461,-0.1214,0.0592,64.1741,23.3702,25.1523
286864651,Hallow Ridge Filipinas Golf,-0.0096,0.0473,-0.1023,0.0831,55.8855,12.8501,16.5782
13509276,Ayala Greenfield Golf and Leisure Club,0.0285,0.0329,-0.036,0.093,81.1383,17.4825,26.3774
1120578954,South Pacific Davao Golf Club,0.0222,0.049,-0.0739,0.1183,40.4931,10.2513,10.6489
30478360,Apo Golf and Country Club,0.0019,0.0592,-0.114,0.1178,42.0376,12.7768,10.183
17250995,Lakewood Golf Course,-0.0609,0.0594,-0.1774,0.0556,63.9841,12.2023,10.6148
4913973,Alabang Country Club,-0.0186,0.0238,-0.0652,0.028,129.2843,27.1195,33.7527
1262766897,South Forbes Golf Club,0.0049,0.0506,-0.0943,0.1041,38.8877,8.3787,11.6551
128616401,Villamor Air Base Golf Course,-0.0473,0.0384,-0.1225,0.0279,48.2254,11.9632,11.8869
153513039,Splendido Golf Course,0.0359,0.0518,-0.0656,0.1374,41.7617,7.8555,13.292
269467713,Royal Garden Golf,-0.0201,0.0421,-0.1027,0.0625,91.6332,16.0011,18.735
9630843,Fairways and Bluewater Resort Golf and Country Club,-0.0568,0.0361,-0.1276,0.014,115.0801,29.8344,25.7398
67137399,Cebu Country Club,-0.1008,0.0392,-0.1777,-0.0239,71.7669,22.466,19.9129
244117954,Mactan Island Golf Club,-0.0948,0.0389,-0.171,-0.0186,101.9467,26.1948,27.9276
83415116,Leyte Golf and Country Club,-0.0822,0.0664,-0.2123,0.0479,33.1825,10.6958,6.1783
167420206,Iloilo Golf and Country Club,-0.0405,0.038,-0.1149,0.0339,65.7543,21.42,19.8758
1415089965,,0.0063,0.0383,-0.0688,0.0814,85.6408,21.1322,24.1077
8326757,Manila Golf and Country Club,0.0003,0.0423,-0.0826,0.0832,44.1794,9.2214,11.3381
246446745,,-0.0214,0.0371,-0.0942,0.0514,80.75,31.6229,29.6466
15273788,Zamora Championship Course,-0.0506,0.0364,-0.122,0.0208,97.3053,20.6055,27.5471
245376615,San Juanico Golf And Country Club,-0.0324,0.0452,-0.1209,0.0561,34.5598,11.7509,7.8197
53625579,Negros Occidental Golf and Country Club,-0.1319,0.0551,-0.24,-0.0238,45.102,11.4954,11.2363
515497211,"Bacolod Golf & Country Club, INC.",-0.0484,0.0454,-0.1373,0.0405,68.6377,20.8167,22.676
942438304,Fernando Air Base Golf Club,0.0036,0.0702,-0.1339,0.1411,30.88,8.2149,7.6489
1520602515,Tagaytay Highlands International Golf Club,-0.0218,0.0478,-0.1155,0.0719,32.1465,7.365,11.0617
150436422,Club Filipino Golf Course,0.0037,0.0454,-0.0853,0.0927,49.7173,13.1742,17.7561
1347745645,Tandatangan Golf Course,0.2244,0.0324,0.1609,0.2879,107.8359,27.2914,21.8355
306524835,Antonio Bautista Golf Course,-0.0117,0.0492,-0.1082,0.0848,57.2511,16.0907,14.0009
310023913,Edwin Andrews Air Base Golf Club,-0.0319,0.0574,-0.1444,0.0806,42.3509,6.3151,10.8184
101917627,,-0.0059,0.0271,-0.059,0.0472,148.4836,34.0,38.7138
8212685,Veterans Memorial Medical Center Golf Course,-0.0318,0.0563,-0.1421,0.0785,38.0788,9.6176,6.6774
1058754970,Fontana Golf,0.0197,0.0403,-0.0593,0.0987,100.8857,18.784,16.4941
27832144,Philippine Navy Golf Club,-0.002,0.0386,-0.0776,0.0736,54.6034,12.6808,12.8579
175533230,,-0.1199,0.0523,-0.2225,-0.0173,27.8829,7.6665,12.3231
13655553,Rio Tuba Nickel Mining Corp Golf Club,-0.0673,0.0485,-0.1623,0.0277,53.2804,12.9668,13.0098
16741298,The Cliff Golf Course,-0.0371,0.0249,-0.0858,0.0116,153.6325,36.0,36.5527
113548725,,-0.0829,0.0472,-0.1754,0.0096,23.5867,6.6844,7.694
19224722,Camp John Hay Golf Course,-0.0075,0.0235,-0.0535,0.0385,205.5323,49.204,50.3797
550922162,Dole Kalsangi Golf Club,-0.0015,0.0562,-0.1117,0.1087,50.7442,15.8648,15.1432
397901069,Sarangani Golf & Country Club,-0.0401,0.0456,-0.1296,0.0494,92.2968,22.9391,24.0005
14196103,Capitol Hills Golf and Country Club,0.0175,0.0562,-0.0927,0.1277,40.5711,11.5129,9.4865
150765385,Ponderosa Golf Course,-0.0006,0.0223,-0.0444,0.0432,85.9325,21.039,18.1764
234890223,Banaba Golf Club,0.0116,0.0433,-0.0732,0.0964,38.1553,12.7453,10.6876
27189526,Camp Aguinaldo Golf Course,-0.0151,0.0564,-0.1257,0.0955,39.6268,11.0332,6.1592
1216020018,Paraiso Golf Course,-0.042,0.0591,-0.1579,0.0739,82.1158,20.7938,26.6362
32750431,,-0.021,0.0383,-0.0961,0.0541,62.7999,17.0638,22.3202
1450616996,Don Paco Rocamora Golf & Country Club,0.0085,0.061,-0.1111,0.1281,46.6893,11.3729,13.732
251713251,Ang Tay Golf Course,-0.0507,0.0533,-0.1552,0.0538,50.7732,15.904,11.3745
30783169,Cattle Creek,0.0221,0.0606,-0.0966,0.1408,44.5309,10.3916,9.8609
17944530,Club Intramuros Golf Course,-0.1428,0.0583,-0.257,-0.0286,34.961,7.3957,9.723
542005767,Iligan City Golf Course,-0.0086,0.053,-0.1126,0.0954,46.3393,9.0213,12.0312
184128526,Camp Evangelista Golf Club,-0.1181,0.0418,-0.2,-0.0362,56.365,15.8921,15.5396
146996117,,0.0462,0.028,-0.0086,0.101,140.74,29.9985,33.6626
1498101159,Haciendas de Naga,-0.0295,0.0693,-0.1654,0.1064,47.2275,9.4489,8.9884
664750028,San Antonio Golf Course,-0.0231,0.0597,-0.1402,0.094,47.7503,13.8172,10.4888
14143603,Baguio Country Club Golf Course,0.0422,0.0208,0.0014,0.083,213.4894,50.9176,52.4305
107092431,,-0.037,0.0262,-0.0884,0.0144,149.2574,34.0,39.9538
27832178,Philippine Army Golf Club,0.0449,0.0408,-0.035,0.1248,50.5635,13.4346,13.4491
32750230,,-0.0148,0.0417,-0.0966,0.067,58.0859,16.71,21.6298
32750176,,-0.0444,0.0402,-0.1232,0.0344,56.6239,16.897,22.4276
537391355,Punta Fuego Golf Club,0.0203,0.032,-0.0424,0.083,95.1872,22.2567,20.9598
318352365,Basa Air Base Golf Course,-0.0109,0.031,-0.0716,0.0498,108.8398,23.5214,25.4337
1350772044,Perfect Star Golf Course,0.0151,0.046,-0.075,0.1052,38.972,11.6457,10.5503
16312972,Illana Bay Golf & Country Club,-0.0002,0.0361,-0.0709,0.0705,49.1169,10.3366,11.5028
683035062,West Highlands Golf Course,-0.0063,0.038,-0.0808,0.0682,39.553,8.6542,8.4699
273056776,Royale Tagaytay,-0.0477,0.0456,-0.1371,0.0417,38.9976,9.0876,13.3222
281980715,,-0.1394,0.0546,-0.2465,-0.0323,46.4923,10.3283,12.1725
137911884,Basa Air Base Golf Course,-0.0028,0.0297,-0.061,0.0554,113.7656,23.3585,25.4345
264770929,Olot Golf Course,-0.0914,0.0449,-0.1793,-0.0035,42.9192,14.953,12.7263
80393802,The Cliff Golf Course,-0.0241,0.0267,-0.0765,0.0283,156.6279,36.0,36.0
246644550,,0.0753,0.0354,0.0059,0.1447,84.1291,28.73,29.947
121047040,,-0.0272,0.0291,-0.0842,0.0298,93.702,20.125,22.6851
1568934,Caliraya Spring Golf & Country Club,0.0047,0.052,-0.0972,0.1066,24.3448,9.1785,7.2327
20507414,Lepanto Mines Golf Course,0.0166,0.027,-0.0364,0.0696,145.2433,36.0,34.0
109833384,,-0.0204,0.0498,-0.118,0.0772,23.2362,6.8729,7.4177
32750324,,-0.0079,0.0383,-0.083,0.0672,53.8566,18.2246,23.7522
213709056,,0.0206,0.0627,-0.1024,0.1436,52.7229,12.9998,13.4688
32759572,,-0.0156,0.0366,-0.0873,0.0561,53.0216,21.3221,23.3233
17908468,,-0.1143,0.0558,-0.2236,-0.005,33.8171,6.4672,10.4891
175010424,Hampas Lupa Golf Driving Range,-0.036,0.0697,-0.1726,0.1006,35.4212,10.5173,9.5772
703800716,,0.0899,0.0386,0.0143,0.1655,90.1936,18.4246,21.7421
184362383,Camp Aguinaldo Golf Course,0.0058,0.058,-0.1078,0.1194,38.3557,8.7312,7.4646
160903445,LLCI,0.0049,0.0561,-0.105,0.1148,30.1758,10.4506,6.0005
1105103473,Davao Eaglemasters Golf Driving Range,-0.0104,0.0831,-0.1733,0.1525,36.1499,9.9854,9.6875
184362384,Camp Aguinaldo Golf Course,0.0069,0.06,-0.1108,0.1246,35.7269,10.0435,7.2862
16751280,Laguna Bel Air Mini Golf Course,-0.1735,0.04,-0.252,-0.095,54.1644,10.4169,16.2793
703800717,,0.1011,0.034,0.0344,0.1678,88.0573,17.1029,21.9388
35213090,Las Piñas Driving Range,-0.1093,0.0275,-0.1632,-0.0554,112.3213,31.9921,31.1178
7588874,Driving range,-0.0754,0.0548,-0.1828,0.032,35.6982,7.2908,14.8235
1209424422,,0.038,0.0236,-0.0083,0.0843,80.54,20.0,16.0
66703198,EG Golf & Driving Range,0.0219,0.0326,-0.042,0.0858,96.3312,16.1953,17.0026
142839733,Iloilo Golf Driving Range,-0.1413,0.0413,-0.2223,-0.0603,41.1518,16.6397,8.0
60121152,City Golf,-0.1293,0.0382,-0.2042,-0.0544,34.5334,11.3364,10.7044
1468599051,,-0.0693,0.0263,-0.1208,-0.0178,127.0,30.0,32.6908
150835617,"Driving Range, fenced",-0.05,0.0242,-0.0974,-0.0026,153.372,35.3686,34.0
702047132,,0.0719,0.0356,0.0022,0.1416,84.4969,16.8742,24.0
1468599052,,-0.0201,0.026,-0.0711,0.0309,127.0,30.0,33.0
1241013713,,-0.1422,0.0424,-0.2252,-0.0592,55.0,16.0,13.0
1455691384,,0.1664,0.0541,0.0604,0.2724,28.9478,9.0416,7.0
1116950585,Pitch & Putt,-0.0021,0.0389,-0.0783,0.0741,99.7156,26.0,26.0
32775560,,-0.0013,0.0481,-0.0955,0.0929,42.8608,12.0,7.9702
1468599053,,-0.2197,0.0218,-0.2625,-0.1769,124.7057,30.0,32.0
1468599054,,-0.1895,0.0247,-0.2378,-0.1412,123.1155,30.4417,32.0
